MFR CAT,Feb-22,Apr-22,Jul-22,Sep-22,Oct-22,Feb-23,Mar-23,Apr-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Cost_02/2022,Cost_04/2022,Cost_07/2022,Cost_09/2022,Cost_10/2022,Cost_02/2023,Cost_03/2023,Cost_04/2023,Cost_08/2023,Cost_09/2023,Cost_10/2023,Cost_11/2023,Cost_12/2023,Cost_01/2024,Cost_02/2024,Cost_03/2024,Cost_04/2024,Cost_05/2024,Cost_06/2024,Cost_07/2024,Cost_08/2024,Cost_09/2024,Cost_10/2024,Cost_11/2024,Cost_12/2024,AVG_QTY_RECEIVED_PER_MONTH,AVG_COST_PER_MONTH,TOTAL_QTY_RECEIVED_PER_YEAR,TOTAL_COST_PER_YEAR
APB-4-10-3D-SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,0,0,0,0,0,0,0,0,0,0.04,48.04,1,1201
APB-5-10-3D-SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,0,0,0,0,0,0.04,48.04,1,1201
APB-6-20-3D-SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,0,0,0,1201,0,0,0,0,0,0.08,96.08,2,2402
BALLAST100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2575,0,0,2575,0,0,0,0,2575,0.6,309,15,7725
BALLAST90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2575,5150,0,2575,0,0,0,0,2575,1,515,25,12875
BC0210M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13135,13580,20370,0,0,10185,13580,10185,0.96,3241.4,24,81035
BC0411XC,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3910,0,3910,3910,0,0,0,0,0,0,3910,3910,0.4,782,10,19550
BG8087-090,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,6,3,2,3,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,5250,0,8750,10500,5250,3500,5250,3500,7000,1750,1750,1.24,2170,31,54250
BMK6F105BER130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,0,0,0.08,70,2,1750
BMK6F95BER120,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,10,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11700,0,0,975,0,0,0,8750,0,7000,8750,0,1.64,1487,41,37175
BMX7F105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2625,0,1750,0,0,0,0,0,0,0,0,0.2,175,5,4375
BMX7F95,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2925,6125,0,7000,0,8750,0,0,0,0,0,0,1.12,992,28,24800
CG507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.8,0,0,0,0,0,0,0.08,21.272,2,531.8
CG508,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,2,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.8,531.8,0,0,1329.5,531.8,531.8,265.9,265.9,1595.4,0,0,0.84,223.356,21,5583.9
CG511,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,6,6,7,12,5,10,9,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1329.5,3988.5,1595.4,1595.4,1861.3,3190.8,1329.5,2659,2393.1000000000004,2659,5052.1,0,4.16,1106.144,104,27653.600000000002
CR7074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0.04,87.8,1,2195
DA5125ST,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,7,9,3,6,11,6,4,6,5,13,0,0,0,0,0,0,0,0,0,0,0,0,3828,2552,2552,8932,11484,3828,7656,14036,7656,5104,7656,6380,16588,3.08,3930.08,77,98252
DA6125ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,4200,0,0,0,0,0,0,0,2100,0.16,336,4,8400
DA6131ST,0,0,0,-3,0,0,0,0,0,0,0,0,0,3,3,3,10,6,7,9,9,8,6,3,6,0,0,0,-5850,0,0,0,0,0,0,0,0,0,6300,6300,6300,21000,12600,14700,18900,18900,16800,12600,6300,12600,2.8,5898,70,147450
DYNJSC101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.02,0,0,0,0,0,0,0,0,44.02,0,0,0.08,3.5216000000000003,2,88.04
ECB00018200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.83,461.2,230.6,461.2,230.6,0,0,0,0,0,0.28,61.377199999999995,7,1534.43
ENF402300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6366.24,0,0,0,0,0,0,0.04,254.6496,1,6366.24
ET309537,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5900,0,0,0,5900,0,0,0,0,0,0,0,0.08,472,2,11800
FA-55160-1030,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,2,9,5,5,11,6,1,3,4,5,0,0,0,0,0,0,0,0,0,0,0,7600,0,0,950,1900,8550,4750,4750,10450,5700,950,2850,3800,4750,2.4,2280,60,57000
FG13160-0615-1S,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,5,1,1,0,0,0,0,0,0,0,0,1900,0,0,0,0,0,0,0,0,0,1900,0,1900,0,4750,950,950,0.52,494,13,12350
FG15150-0615-1S,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,7,0,0,1,5,1,2,2,0,2,0,0,0,0,0,0,0,0,2850,0,0,0,0,2850,0,6650,0,0,950,4750,950,1900,1900,0,1900,1.04,988,26,24700
FG15150-0630-1S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265,0,0,0,0,0,0,0.04,50.6,1,1265
FG15160-0615-1S,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,0,1900,950,0,950,0,0,0,0,7600,0.56,532,14,13300
FG19120-1030-1S,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1550,0,3100,0,0,0,0,0,0,0,0,1550,1550,1550,0.24,372,6,9300
FREDX2513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13856,0,0,0,0,0,0,0,0,0,0.04,554.24,1,13856
FREDX4515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12560,0,0,0,0,0,0,12560,0,0,0,0,0.08,1004.8,2,25120
FREDX4520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12560,0,0,0,0,0,0,0,0,0.04,502.4,1,12560
FREDX4525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12560,0,0,0,0,0.04,502.4,1,12560
FREDX4534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12560,0.04,502.4,1,12560
FREDX5026,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12560,12560,0,0,0,0,0,0,0,0,0,0,0.08,1004.8,2,25120
FREDX5036,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12560,0,0,0,0,0,0,0,0,0,0,0,0.04,502.4,1,12560
G00219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.6,0.8,3.344,20,83.6
G05197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2626.5,0,0,2,105.06,50,2626.5
G05976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0.04,4.4,1,110
G06299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.6,0.4,6.784,10,169.6
G07369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.72,0.04,2.0288,1,50.72
G08420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.2,0,122.2,0,122.2,0.12,14.664000000000001,3,366.6
G08582,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,122.2,0,0,0,0,0,0,0,0,0,0,0,122.2,0.08,9.776,2,244.4
G08677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.2,0,0,0,0,0.04,4.888,1,122.2
G09312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.2,0,0.04,4.888,1,122.2
G09548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.4,0,0,0,0,0.08,9.776,2,244.4
G13033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.8,0,0,0,0,0,0,0,0,0,0.08,7.5520000000000005,2,188.8
G13287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877.8,0,0,0,0,0,0,0,0,0,0.12,35.111999999999995,3,877.8
G23653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4177,0,0,0,0,0,0,0,0,0.04,167.08,1,4177
G29769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972.2,0,0,0,0,0,0,0.08,38.888000000000005,2,972.2
G30009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.52,0,0,0,0,0,0.04,5.340800000000001,1,133.52
G31138,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,19,4,21,10,10,10,10,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,854.91,1099.17,2320.47,488.52,2564.73,1221.3,1221.3,1221.3,1221.3,610.65,732.78,610.65,4.64,566.6831999999998,116,14167.08
G47001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,210,0,0,0,0,105,0,0,0.16,16.8,4,420
G47034,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,105,0,0,0,0,0,0.12,11.4,3,285
G47095,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0.08,7.2,2,180
G47338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.92,0,0,0,0,0,0,0.08,6.0767999999999995,2,151.92
G47339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.96,0,0,0,0,0,0,0.04,3.0383999999999998,1,75.96
G47341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.92,0,0,0,0,0,0,0.08,6.0767999999999995,2,151.92
G47416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.58,0,0,0,0,0,0,0.08,6.583200000000001,2,164.58
G47417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.87,0,0,0,0,0,0,0.12,9.8748,3,246.87
G47419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.34,0,0,0,0,0,0,0.08,8.8936,2,222.34
G60504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3239.1,0,0.04,129.564,1,3239.1
G60510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3239.1,0,0.04,129.564,1,3239.1
G60513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3239.1,0,0.04,129.564,1,3239.1
GLM910025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226.11,0,0,0,0,0,0,0,0,0,0,0,0,0.04,49.044399999999996,1,1226.11
GLM910030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355.38,0,0,0,0,0,0.04,54.2152,1,1355.38
GLM915020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3678.33,0,0,0,0,0,0,0,0,0.12,147.1332,3,3678.33
GLM915030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226.11,0,0,0,0,0,0,0,0,0.04,49.044399999999996,1,1226.11
GLM915040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2710.76,0,0,0,0,0,0,0,0,0.08,108.4304,2,2710.76
GLM920030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226.11,0,0,0.04,49.044399999999996,1,1226.11
GLM925035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226.11,0,0,0,0,0,0,0,0,0.04,49.044399999999996,1,1226.11
GLM925045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226.11,0,0,0.04,49.044399999999996,1,1226.11
GLM930040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226.11,1355.38,0,0,0,0,0,0,0,0.08,103.25959999999999,2,2581.49
GLM930080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3678.33,0,0,0,4066.14,0,0,0,0,0,0.24,309.7788,6,7744.469999999999
GM1221,0,0,0,0,0,0,0,0,0,0,0,0,2,9,4,2,4,5,0,7,8,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,526.72,2370.2400000000002,1053.44,526.72,1053.44,1316.8000000000002,0,1843.52,2106.88,790.08,1053.44,790.08,1580.16,2.28,600.4608,57,15011.52
GM1222,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,6,1,0,2,2,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1316.8000000000002,1316.8,0,0,1580.1599999999999,263.36,0,526.72,470,0,1843.52,263.36,263.36,1.2,313.7632,30,7844.08
GM1224,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,790.08,1580.16,0,0,263.36,0,0,0,0,0,0,0,470,0.48,124.14400000000002,12,3103.6
GM1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053.44,0,0,526.72,0,263.36,0,526.72,263.36,0.4,105.344,10,2633.6000000000004
GM1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526.72,0,526.72,0,790.08,0,0,0,0.28,73.7408,7,1843.52
GM1624,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,263.36,0,0,1053.44,0,0,526.72,0,1053.44,0,0,263.36,0.48,126.4128,12,3160.32
GPL2-0830H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0.04,10,1,250
GPL2-1030H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0.04,10,1,250
GR3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7240.5,0,0,0,0,0,0,0,0,0,2,289.62,50,7240.5
GR3508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5832,0,0,0,0,0,0,0,0,0,1.2,233.28,30,5832
GR3509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.5,241.5,0,241.5,0,483,241.5,0,0,483,0,0.32,77.28,8,1932
GR3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,216,0,0,0.08,17.28,2,432
GR3806,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.9,0,0,321.8,160.9,0,0,482.70000000000005,0,0,0,0,0.28,45.05200000000001,7,1126.3
GR3809,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,241.5,0,241.5,241.5,483,241.5,0,0,483,241.5,0.44,106.26,11,2656.5
GS3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4422.6,0,0,0,0,0,0,0,0,0,0.8,176.90400000000002,20,4422.6
GS3508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2289.2,0,0,0,0,0,0,0,0,0,0.4,91.568,10,2289.2
GW0721006M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,0,0,0,625,0,0,0.16,100,4,2500
GW1420040X,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,12,10,17,12,4,0,4,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,3600,4320,3600,6120,4320,1440,0,1440,5040,6120,4.4,1584,110,39600
H74939171050670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0.04,10,1,250
H74939171060670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0.04,10,1,250
H74939171100670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0.04,10,1,250
H7493918908200,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,100,0,0,0.12,12,3,300
H7493918912200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0.04,4,1,100
H7493918912250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0.08,8,2,200
H7493918915350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0.04,4.2,1,105
H7493918915400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0.04,4.2,1,105
H7493919012150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0.04,4,1,100
H7493926712450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0.04,4,1,100
H7493926715220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0.04,4,1,100
H7493926715400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0.04,4,1,100
H7493926720250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0.04,4,1,100
H7493926720300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0.04,4,1,100
H7493926720350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,200,0.12,12,3,300
H7493926720550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0.04,4,1,100
